iter	Passed	Remaining
0	153	30533
1	156	15478
2	159	10502
3	165	8126
4	171	6691
5	176	5714
6	181	4991
7	184	4417
8	187	3989
9	191	3637
10	194	3348
11	199	3118
12	202	2909
13	204	2721
14	207	2557
15	209	2409
16	211	2278
17	213	2161
18	215	2054
19	217	1958
20	219	1870
21	221	1789
22	223	1718
23	225	1651
24	226	1587
25	228	1529
26	230	1475
27	231	1423
28	233	1375
29	234	1329
30	236	1287
31	237	1247
32	239	1210
33	240	1176
34	242	1143
35	244	1111
36	245	1082
37	247	1053
38	248	1026
39	250	1001
40	251	976
41	253	952
42	255	931
43	256	909
44	258	889
45	259	869
46	261	850
47	262	832
48	264	814
49	265	797
50	267	781
51	268	765
52	270	750
53	272	736
54	273	722
55	275	708
56	277	695
57	278	682
58	280	669
59	281	657
60	283	645
61	284	633
62	286	622
63	288	612
64	290	602
65	291	592
66	293	582
67	294	572
68	296	562
69	297	553
70	299	543
71	300	534
72	302	526
73	304	518
74	305	509
75	307	501
76	309	493
77	310	485
78	312	478
79	313	470
80	315	462
81	316	455
82	318	448
83	320	442
84	321	435
85	323	428
86	324	421
87	326	415
88	327	408
89	329	402
90	330	396
91	332	390
92	334	384
93	336	379
94	338	374
95	339	368
96	341	362
97	342	356
98	344	351
99	345	345
100	347	340
101	349	335
102	351	330
103	353	325
104	354	320
105	356	315
106	357	310
107	359	305
108	360	301
109	362	296
110	363	291
111	365	287
112	367	282
113	368	278
114	370	273
115	371	269
116	373	264
117	374	260
118	376	256
119	378	252
120	379	247
121	381	243
122	383	239
123	384	235
124	386	231
125	387	227
126	389	223
127	390	219
128	392	215
129	394	212
130	395	208
131	397	204
132	399	201
133	400	197
134	402	193
135	403	190
136	405	186
137	406	182
138	408	179
139	410	175
140	411	172
141	413	168
142	415	165
143	416	162
144	418	158
145	419	155
146	421	151
147	422	148
148	424	145
149	425	141
150	427	138
151	428	135
152	430	132
153	432	129
154	433	125
155	435	122
156	436	119
157	438	116
158	439	113
159	441	110
160	443	107
161	444	104
162	446	101
163	448	98
164	449	95
165	451	92
166	452	89
167	454	86
168	456	83
169	457	80
170	459	77
171	460	75
172	462	72
173	464	69
174	465	66
175	467	63
176	468	60
177	470	58
178	472	55
179	473	52
180	475	49
181	477	47
182	479	44
183	480	41
184	482	39
185	484	36
186	485	33
187	487	31
188	488	28
189	490	25
190	492	23
191	494	20
192	495	17
193	497	15
194	498	12
195	500	10
196	502	7
197	504	5
198	506	2
199	508	0
